Building ID	Market	Street Address	City	State	Postal Code	Latitude	Longitude	On Zayo Network Status	Net Classification	Type	Network Proximity	 Estimated Build Cost 
Bldg-237911	Dallas	4510 W Jefferson Blvd	Dallas	TX	75211	32.73592	-96.895181	Not on Zayo Network	Fiber Only	Elementary School	12562.12	 $326,053.00 
Bldg-237917	Dallas	3031 S Beckley Ave	Dallas	TX	75224	32.70858	-96.823871	Not on Zayo Network	Fiber Only	Elementary School	18331.74	 $470,293.50 
Bldg-237912	Dallas	1710 N Carroll Ave	Dallas	TX	75204	32.80372	-96.780561	Not on Zayo Network	Fiber Only	Elementary School	930.36	 $35,259.00 
Bldg-237918	Dallas	9339 S Polk St	Dallas	TX	75232	32.6649	-96.8403	Not on Zayo Network	Fiber Only	Middle School	32266.87	 $818,671.75 
Bldg-237919	Dallas	3635 Greenleaf St	Dallas	TX	75212	32.786581	-96.863958	Not on Zayo Network	Fiber Only	Middle School	2993.83	 $86,845.75 
Bldg-237925	Dallas	10210 Teagarden Rd	Dallas	TX	75217	32.67501	-96.645671	Not on Zayo Network	Fiber Only	Elementary School	29985.06	 $761,626.50 
Bldg-237920	Dallas	5314 Abrams Rd	Dallas	TX	75214	32.85205	-96.751691	Not on Zayo Network	Fiber Only	Elementary School	1809.06	 $57,226.50 
Bldg-237926	Dallas	4918 Hovenkamp Dr	Dallas	TX	75227	32.78543	-96.706731	Not on Zayo Network	Fiber Only	Elementary School	2473.74	 $73,843.50 
Bldg-237921	Dallas	650 Holcomb Rd	Dallas	TX	75217	32.7223	-96.672861	Not on Zayo Network	Fiber Only	Middle School	1016.56	 $37,414.00 
Bldg-237927	Dallas	7420 La Vista Dr	Dallas	TX	75214	32.806772	-96.731805	Not on Zayo Network	Fiber Only	Elementary School	14572.06	 $376,301.50 
Bldg-237922	Dallas	1952 Bayside St	Dallas	TX	75212	32.78787	-96.852731	Not on Zayo Network	Fiber Only	Elementary School	6074.67	 $163,866.75 
Bldg-237928	Dallas	3978 Killion Dr	Dallas	TX	75229	32.88192	-96.847631	Not on Zayo Network	Fiber Only	Middle School	8285	 $219,125.00 
Bldg-237923	Dallas	7625 Hume Dr	Dallas	TX	75227	32.75847	-96.689981	Not on Zayo Network	Fiber Only	Middle School	14659.09	 $378,477.25 
Bldg-237929	Dallas	9560 Highfield Dr	Dallas	TX	75227	32.75476	-96.658551	Not on Zayo Network	Fiber Only	Elementary School	7920.42	 $210,010.50 
Bldg-237924	Dallas	3002 N Saint Augustine Dr	Dallas	TX	75227	32.763403	-96.656182	Not on Zayo Network	Fiber Only	Elementary School	4913.32	 $134,833.00 
Bldg-237930	Dallas	2611 Healey Dr	Dallas	TX	75228	32.82591	-96.669741	Not on Zayo Network	Fiber Only	Elementary School	6294.46	 $169,361.50 
Bldg-237931	Dallas	4500 Bernal Dr	Dallas	TX	75212	32.787292	-96.893973	Not on Zayo Network	Fiber Only	Elementary School	4634.85	 $127,871.25 
Bldg-238106	Dallas	10740 N Central Expy	Dallas	TX	75231	32.8945525	-96.7679194	Not on Zayo Network	Fiber Only	Office - Multi Tenant	621.13	 $27,528.25 
Bldg-237937	Dallas	9815 Brockbank Dr	Dallas	TX	75220	32.87338	-96.876451	Not on Zayo Network	Fiber Only	Middle School	4234.48	 $117,862.00 
Bldg-237932	Dallas	2914 Cummings St	Dallas	TX	75216	32.69799	-96.772641	Not on Zayo Network	Fiber Only	Elementary School	446.64	 $38,798.40 
Bldg-237938	Dallas	5000 Berridge Ln	Dallas	TX	75227	32.78466	-96.691901	Not on Zayo Network	Fiber Only	Elementary School	10851.98	 $283,299.50 
Bldg-237933	Dallas	7502 Fair Oaks Ave	Dallas	TX	75231	32.87638	-96.751901	Not on Zayo Network	Fiber Only	High School	3155.46	 $90,886.50 
Bldg-237939	Dallas	525 Bonnie View Rd	Dallas	TX	75203	32.74156	-96.795791	Not on Zayo Network	Fiber Only	High School	2093.46	 $64,336.50 
Bldg-237934	Dallas	2221 Lucas Dr	Dallas	TX	75219	32.80695	-96.828231	Not on Zayo Network	Fiber Only	Elementary School	1642.39	 $53,059.75 
Bldg-237940	Dallas	1625 N Masters Dr	Dallas	TX	75217	32.74149	-96.650141	Not on Zayo Network	Fiber Only	Middle School	11789.64	 $306,741.00 
Bldg-237935	Dallas	3815 S Franklin St	Dallas	TX	75233	32.69679	-96.861531	Not on Zayo Network	Fiber Only	Elementary School	29432.15	 $747,803.75 
Bldg-237941	Dallas	226 N Jim Miller Rd	Dallas	TX	75217	32.715593	-96.699184	Not on Zayo Network	Fiber Only	Elementary School	26758.01	 $680,950.25 
Bldg-237936	Dallas	225 S Marsalis Ave	Dallas	TX	75203	32.74543	-96.816891	Not on Zayo Network	Fiber Only	Elementary School	1265.1	 $43,627.50 
Bldg-237942	Dallas	5220 Nomas St	Dallas	TX	75212	32.78151	-96.907551	Not on Zayo Network	Fiber Only	Elementary School	3886.36	 $109,159.00 
Bldg-237943	Dallas	6501 Royal Ln	Dallas	TX	75230	32.89575	-96.791771	Not on Zayo Network	Fiber Only	Middle School	1241.65	 $43,041.25 
Bldg-237944	Dallas	3101 Raydell Pl	Dallas	TX	75211	32.74286	-96.872461	Not on Zayo Network	Fiber Only	Elementary School	506.62	 $24,665.50 
Bldg-237949	Dallas	5700 Bexar St	Dallas	TX	75215	32.745791	-96.753379	Not on Zayo Network	Fiber Only	High School	9031.63	 $237,790.75 
Bldg-237945	Dallas	3719 Greenleaf St	Dallas	TX	75212	32.78675	-96.865431	Not on Zayo Network	Fiber Only	Elementary School	2540.99	 $75,524.75 
Bldg-237950	Dallas	1678 Chenault St	Dallas	TX	75228	32.80176	-96.686791	Not on Zayo Network	Fiber Only	Middle School	1673.45	 $53,836.25 
Bldg-237946	Dallas	1811 Gross Rd	Dallas	TX	75228	32.81642	-96.683491	Not on Zayo Network	Fiber Only	Elementary School	11167.14	 $291,178.50 
Bldg-237951	Dallas	2121 S Marsalis Ave	Dallas	TX	75216	32.72206	-96.815141	Not on Zayo Network	Fiber Only	Elementary School	12877.58	 $333,939.50 
Bldg-237947	Dallas	2101 Millmar Dr	Dallas	TX	75228	32.82758	-96.680911	Not on Zayo Network	Fiber Only	High School	7422.07	 $197,551.75 
Bldg-237952	Dallas	3959 Northaven Rd	Dallas	TX	75229	32.90324	-96.845901	Not on Zayo Network	Fiber Only	Elementary School	1310.55	 $44,763.75 
Bldg-237948	Dallas	9733 Old Seagoville Rd	Dallas	TX	75217	32.71064	-96.654561	Not on Zayo Network	Fiber Only	High School	21977.53	 $561,438.25 
Bldg-237953	Dallas	4747 Veterans Dr	Dallas	TX	75216	32.69418	-96.785771	Not on Zayo Network	Fiber Only	Middle School	19417.14	 $497,428.50 
Bldg-237954	Dallas	700 E 8th St	Dallas	TX	75203	32.74985	-96.813881	Not on Zayo Network	Fiber Only	Middle School	309.72	 $30,583.20 
Bldg-237960	Dallas	4550 Worth St	Dallas	TX	75246	32.79515	-96.770861	Not on Zayo Network	Fiber Only	Elementary School	2356.82	 $70,920.50 
Bldg-237955	Dallas	6610 Lake June Rd	Dallas	TX	75217	32.73248	-96.706381	Not on Zayo Network	Fiber Only	Elementary School	23724.67	 $605,116.75 
Bldg-237961	Dallas	2959 S Hampton Rd	Dallas	TX	75224	32.71259	-96.857685	Not on Zayo Network	Fiber Only	Elementary School	24203.48	 $617,087.00 
Bldg-237956	Dallas	5314 Boaz St	Dallas	TX	75209	32.84829	-96.820181	Not on Zayo Network	Fiber Only	Middle School	1049.87	 $38,246.75 
Bldg-237962	Dallas	2940 Singleton Blvd	Dallas	TX	75212	32.77797	-96.868431	Not on Zayo Network	Fiber Only	Middle School	1640.45	 $53,011.25 
Bldg-237957	Dallas	2911 Northaven Rd	Dallas	TX	75229	32.90463	-96.879371	Not on Zayo Network	Fiber Only	Elementary School	2507.83	 $74,695.75 
Bldg-237963	Dallas	1718 Robert B Cullum Blvd	Dallas	TX	75210	32.773402	-96.759603	Not on Zayo Network	Fiber Only	High School	5965.4	 $161,135.00 
Bldg-237958	Dallas	8939 Whitewing Ln	Dallas	TX	75238	32.87058	-96.687851	Not on Zayo Network	Fiber Only	Elementary School	12062.26	 $313,556.50 
Bldg-237964	Dallas	6116 Reiger Ave	Dallas	TX	75214	32.80724	-96.749901	Not on Zayo Network	Fiber Only	Middle School	9198.25	 $241,956.25 
Bldg-237959	Dallas	2808 Running Duke Dr	Carrollton	TX	75006	32.9738	-96.856951	Not on Zayo Network	Fiber Only	Elementary School	445.01	 $38,700.60 
Bldg-237965	Dallas	3722 Black Oak Dr	Dallas	TX	75241	32.680236	-96.762662	Not on Zayo Network	Fiber Only	Elementary School	809.17	 $32,229.25 
Bldg-238115	Dallas	Airline Dr & Executive Dr	Coppell	TX	75019	32.943828	-96.998348	On Zayo Network	Fiber Only	Splice Point	90.53	 $17,431.80 
Bldg-238117	Dallas	3800 Main St	Dallas	TX	75226	32.786183	-96.773174	Not on Zayo Network	Fiber Only	Office - Multi Tenant	38.46	 $14,307.60 
Bldg-238118	Dallas	601 N Akard St	Dallas	TX	75201	32.7847778	-96.8010649	Not on Zayo Network	Fiber Only	Office - Multi Tenant	50.72	 $15,043.20 
Bldg-238139	Atlanta	22 Technology Pkwy S	Peachtree Corners	GA	30092	33.958579	-84.215182	Not on Zayo Network	Fiber Only	Office - Multi Tenant	1804.67	 $53,312.08 
Bldg-238133	Denver	8000 S Chester St	Englewood	CO	80112	39.5710999	-104.8781413	Not on Zayo Network	Fiber Only	Office - Multi Tenant	236.96	 $23,063.20 
Bldg-238137	Dallas	2111 W Walnut Hill Ln	Irving	TX	75038	32.8677824	-96.9747156	Not on Zayo Network	Fiber Only	Office - Multi Tenant	299.18	 $29,950.80 
Bldg-238150	Atlanta	2850 Premiere Pkwy	Duluth	GA	30097	34.0034738	-84.0931199	Not on Zayo Network	Fiber Only	Office - Single Tenant	2612.92	 $72,710.08 
Bldg-238147	Denver	380 Interlocken Crescent	Broomfield	CO	80021	39.9239956	-105.113682	On Zayo Network	Fiber Only	Office - Multi Tenant	542.49	 $28,674.70 
Bldg-239517	Atlanta	1448 Lucile Ave SW	Atlanta	GA	30310	33.742529	-84.4351254	Not on Zayo Network	Fiber Only	Elementary School	2678.1	 $74,274.40 
Bldg-239523	Denver	17698 Varra Via	Broomfield	CO	80020	39.9429767	-105.1232096	Not on Zayo Network	Fiber Only	Office - Multi Tenant	6657.52	 $212,125.60 
