State	Network	Proximity	Price
GA	On Zayo Network	1484.16	45619.84
GA	On Zayo Network	313.64	19409.20
GA	On Zayo Network	778.56	28685.44
GA	On Zayo Network	158.71	14761.30
GA	On Zayo Network	232.54	16976.20
GA	On Zayo Network	426.83	22804.90
GA	On Zayo Network	2345.37	66288.88
GA	On Zayo Network	178.8	15364.00
GA	On Zayo Network	273.61	18208.30
GA	On Zayo Network	271.26	18137.80
GA	On Zayo Network	511.26	22270.24
GA	On Zayo Network	1485.49	45651.76
GA	On Zayo Network	525.21	22605.04
GA	On Zayo Network	2145.58	61493.92
GA	Not on Zayo Network	181.56	15446.80
GA	On Zayo Network	434.76	23042.80
GA	On Zayo Network	731.92	27566.08
GA	On Zayo Network	871.7	30920.80
GA	On Zayo Network	455.33	23659.90
GA	On Zayo Network	707.54	26980.96
GA	On Zayo Network	1347.89	42349.36
GA	On Zayo Network	383.01	21490.30
GA	On Zayo Network	155.89	14676.70
GA	On Zayo Network	397.15	21914.50
GA	On Zayo Network	423.55	22706.50
GA	On Zayo Network	292.23	18766.90
GA	On Zayo Network	1974.78	57394.72
GA	On Zayo Network	1250.3	40007.20
GA	On Zayo Network	85.65	12569.50
GA	On Zayo Network	514.43	22346.32
GA	Build in Progress	41.4	11242.00
GA	On Zayo Network	299.34	18980.20
GA	On Zayo Network	255.48	17664.40
GA	On Zayo Network	137.35	14120.50
GA	On Zayo Network	1909.49	55827.76
GA	Build in Progress	386.59	21597.70
GA	On Zayo Network	1264.21	40341.04
GA	On Zayo Network	403.54	22106.20
GA	Not on Zayo Network	168.57	15057.10
GA	On Zayo Network	422.74	22682.20
GA	On Zayo Network	1336.07	42065.68
GA	On Zayo Network	791.09	28986.16
GA	On Zayo Network	884.8	31235.20
GA	On Zayo Network	773.79	28570.96
GA	On Zayo Network	87.01	12610.30
GA	On Zayo Network	1003.81	34091.44
GA	On Zayo Network	118.86	13565.80
GA	On Zayo Network	702.36	26856.64
GA	On Zayo Network	176.45	15293.50
GA	On Zayo Network	661.33	25871.92
GA	On Zayo Network	479.8	24394.00
GA	Not on Zayo Network	179.55	15386.50
GA	Not on Zayo Network	158.18	14745.40
GA	Not on Zayo Network	143.88	14316.40
GA	Not on Zayo Network	195.74	15872.20
GA	On Zayo Network	537.17	22892.08
GA	On Zayo Network	134.83	14044.90
GA	Not on Zayo Network	316.73	19501.90
GA	On Zayo Network	98.62	12958.60
GA	On Zayo Network	274.13	18223.90
GA	On Zayo Network	125.87	13776.10
GA	On Zayo Network	1429.14	44299.36
GA	On Zayo Network	310.26	19307.80
GA	On Zayo Network	249.41	17482.30
GA	On Zayo Network	164.24	14927.20
GA	On Zayo Network	1290.54	40972.96
GA	On Zayo Network	185.63	15568.90
GA	On Zayo Network	2541.84	71004.16
GA	On Zayo Network	98.52	12955.60
GA	On Zayo Network	114.44	13433.20
GA	On Zayo Network	493.46	24803.80
GA	On Zayo Network	122.82	13684.60
GA	On Zayo Network	71.5	12145.00
GA	On Zayo Network	1079.4	35905.60
GA	On Zayo Network	329.23	19876.90
GA	On Zayo Network	57.8	11734.00
GA	Not on Zayo Network	117.97	13539.10
GA	On Zayo Network	4733.35	123600.40
GA	On Zayo Network	674.07	26177.68
GA	On Zayo Network	274.51	18235.30
GA	On Zayo Network	1787.21	52893.04
GA	Not on Zayo Network	189.65	15689.50
GA	On Zayo Network	1194.17	38660.08
GA	On Zayo Network	389.71	21691.30
GA	On Zayo Network	878.21	31077.04
GA	On Zayo Network	706.41	26953.84
GA	On Zayo Network	463.01	23890.30
